,,FRONT,,,REAR,,,,,
93-97,COMMODORE VR-VS V8 SEDAN LA,KHFL-48,KHFS-48,KHFR-19,KHRL-20,KHRS-20,KHRS-23,,,
93-95,COMMODORE VR V6 SEDAN IRS,KHFL-47,KHFS-19,KHFR-19,KHRL-46,KHRS-46,KHRS-45,,,
95-97,COMMODORE VS V6 SEDAN IRS,KHFL-47SL,KHFS-22,KHFR-19,KHRL-46,KHRS-46,KHRS-45,,,
93-97,COMMODORE VR-VS V8 SEDAN IRS,KHFL-48,KHFS-48,KHFR-19,KHRL-46,KHRS-46,KHRS-45,,,
97-7/04,COMMODORE VT VX VY V6 SEDAN,KHFL-47,KHFS-19,KHFR-19,KHRL-45,KHRS-125,KHRR-125,,,
8/04-05,COMMODORE VZ V6 SEDAN,KHFL-48,KHFS-48,KHFR-19,KHRL-45,KHRS-125,KHRR-125,,,
97-7/04,COMMODORE VT VX VY VZ V8 SEDAN,KHFL-48,KHFS-48,KHFR-19,KHRL-45,KHRS-125,KHRR-125,,,
78-93,COMMODORE VB-VP 6CYL WAGON,KHFL-22,KHFS-22,KHFS-19,KHRL-24,KHRS-24,KHRR-24,,,
78-93,COMMODORE VB-VP V8 WAGON,KHFL-19,KHFS-19,KHFR-19,KHRL-24,KHRS-24,KHRR-24,,,
93-95,COMMODORE VR 6CYL WAGON,KHFL-47,KHFS-19,KHFR-19,KHPR-24,KHRS-16,KHRR-16,,,
95-97,COMMODORE VS 6CYL WAGON,KHFL-47SL,KHFS-22,KHFR-19,KHPR-24,KHRS-16,KHRR-16,,,
93-97,COMMODORE VR-VS V8 WAGON,KHFL-48,KHFS-19,KHFR-19,KHPR-24,KHRS-16,KHRR-16,,,
97-7/04,COMMODORE VT VX VY V6 WAGON,KHFL-47,KHFS-19,KHFR-19,KHRL-69,KHRS-69,KHRR-69,,,
8/04-06,COMMODORE VZ V6 WAGON,KHFL-48,KHFS-48,KHFR-19,KHRL-69,KHRS-69,KHRR-69,,,
97-06,COMMODORE VT VX VY VZ V8 WAGON,KHFL-48,KHFS-48,KHFR-19,KHRL-69,KHRS-69,KHRR-69,,,
90-93,COMMODORE VG V6 UTE,KHFL-47,KHFS-19,KHFR-19,KHPR-24,KHRS-30,KHRR-30,,,
90-93,COMMODORE VG V8 UTE,KHFL-48,KHFR-19,,KHPR-24,KHRS-30,KHRR-30,,,
93-95,COMMODORE VR V6 UTE,KHFL-47,KHFS-48,KHFR-19,KHPR-24,KHRS-30,KHRR-30,,,
95-00,COMMODORE VS V6 UTE,KHFL-47SL,KHFS-22,KHFR-19,KHPR-24,KHRS-30,KHRR-30,,,
93-00,COMMODORE VR VS V8 UTE,KHFL-48,KHFR-19,,KHPR-24,KHRS-30,KHRR-30,,,
01-7/04,COMMODORE VU VY V6 UTE,KHFL-47,KHFS-19,KHFR-19,KHRL-127,KHRS-69,KHRR-69,,,
8/04-06,COMMODORE VZ V6 UTE,KHFL-48,KHFS-48,KHFR-19,KHRL-127,KHRS-69,KHRR-69,,,
01 ON,COMMODORE VU VY VZ V8 UTE,KHFL-48,KHFS-48,KHFR-19,KHRL-127,KHRS-69,KHRR-69,,,
03-7/04,CREWMAN VY V6,KHFL-48,KHFS-48,KHFR-19,,,,,,
8/04-06,CREWMAN VZ V6,KHFS-22,KHFR-19,KHFR-19H,,,,,,
03 ON,CREWMAN V8,KHFS-22,KHFR-19,KHFR-19H,,,,,,
02-08,CRUZE YG,KHFL-105,,,KDRL-118,,,,,
