Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit
VOLKSWAGEN,AMAROK,TDI550,DDXC,6,3.0,D,CRD,,K-31040,
VOLKSWAGEN,AMAROK,TDI580,DDXE,6,3.0,D,CRD,,K-31040,
VOLKSWAGEN,AMAROK,TDI500,CORE,6,3.0,D,CRD,,K-31040,
VOLKSWAGEN,TRANSPORTER,"T5, T6",CAAB,4,2.0,D,TURBO,2010-2020,K-31050,
VOLKSWAGEN,TRANSPORTER,"T5, T6",CAAC,4,2.0,D,TURBO,2009-2020,K-31050,FG-1005
,Kit Contents,SAKURA OIL,SAKURA AIR,,,,,,K-10020,
MITSUBISHI,C-1012,FA-1068,FC-11190,,,,,,K-10030,
MITSUBISHI,C-1012,FA-1517,FC-1018,,,,,,K-10120,
MITSUBISHI,C-1019,FA-1517,FC-1018,,,,,,K-10130,
MITSUBISHI,C-1032,FA-1068,FS-1031,,,,,,K-10140,
MITSUBISHI,C-1032,FA-1517,FS-28150,,,,,,K-10150,
MITSUBISHI,C-1012,FA-1068,FC-1009,,,,,,K-10160,
MITSUBISHI,C-1032,FA-1053,FS-1123,,,,,,K-10200,
MITSUBISHI,C-1012,FAS-1034,FC-1001,,,,,,K-10300,
MITSUBISHI,C-1028,FA-1517,FS-28150,,,,,,K-11020,
TOYOTA,C-1121,FA-3331,FC-1115,,,,,,K-11030,
TOYOTA,C-1112,FA-33261,FC-1115,,,,,,K-11040,
TOYOTA,C-1112,FA-3327,FC-1115,,,,,,K-11060,
TOYOTA,C-1112,FA-3323,FC-1115,,,,,,K-11071,
TOYOTA,EO-11060,FA-3321,F-11131,,,,,,K-11520,
TOYOTA,,,,,,,,,K-11072,
TOYOTA,EO-11060,FA-33810,F-11131,,,,,,K-11081,
TOYOTA,C-1123,FA-1198,FC-11190,,,,,,K-11082,
TOYOTA,C-1123,FA-1198,FC-11190,,,,,,K-11091,
TOYOTA,C-1112,FA-1198,FC-1115,,,,,,K-11100,
FORD,C-1936,FA-5903,FC-11190,,,,,,K-11110,
TOYOTA,C-1112,FA-33261,FC-1115,,,,,,K-11160,
TOYOTA,C-1123,FA-3304,FS-11660,,,,,,K-11180,
TOYOTA,C-1123,FA-11423,FS-1140,,,,,,K-11190,
TOYOTA,C-1123,FA-33261,FS-1152,,,,,,K-11200,
TOYOTA,C-1123,FA-33261,FS-1154,,,,,,K-11210,
TOYOTA,C-1123,FA-3304,FS-11760,,,,,,K-11220,
TOYOTA,C-1123,FA-3327,FS-1144,,,,,,K-11230,
TOYOTA,TOYOTA / LEXUS,C-1123,FA-3322,,,,,,K-11240,
TOYOTA,C-1112,FA-1163,FC-1108,,,,,,K-11250,
TOYOTA,C-1121,FA-1157,FC-1115,,,,,,K-11260,
TOYOTA,C-1112,FA-3322,FC-1707,,,,,,K-11270,
TOYOTA,C-1123,FA-1198,FC-11190,,,,,,K-11410,
TOYOTA,C-1123,FA-59080,FC-11200,,,,,,K-11420,
TOYOTA,C-1123,FA-33740,FS-11760,,,,,,K-11430,
TOYOTA,C-1123,FA-33740,FS-11650,,,,,,K-11440,
TOYOTA,C-1123,FA-33740,F-11140,,,,,,K-11450,
TOYOTA,C-1112,FA-33261,FC-1105,,,,,,K-11460,
TOYOTA,C-1123,FA-5903,FS-11650,,,,,,K-11480,
TOYOTA,C-1112,FA-33261,F-11131,,,,,,K-11491,
TOYOTA,C-1123,FA-3311,F-10200,,,,,,K-11490,
TOYOTA,,,,,,,,,K-11500,
TOYOTA,C-1123,FA-5903,F-10200,,,,,,K-11151,
TOYOTA,,,,,,,,,K-11510,
TOYOTA,C-1112,FA-3327,FC-1707,,,,,,K-11520,
TOYOTA,EO-11060,FA-3321,F-11131,,,,,,K-11071,
,Kit Contents,SAKURA OIL,SAKURA AIR,,,,,,K-11530,
TOYOTA,C-1123,FA-33450,F-11140,,,,,,K-15131,
HOLDEN,C-15271,FA-15241,F-1508,,,,,,K-15250,
HOLDEN,C-1130,FA-1515,FC-8002,,,,,,K-15310,
ISUZU,C-15671,FA-15250,F-10200,,,,,,K-15260,
ISUZU,,,,,,,,,K-17010,
FORD,EO-17030,FA-17860,F-17011,,,,,,K-17020,
FORD,C-1028,FA-1726,FS-1734,,,,,,K-17030,
FORD,C-1028,FA-1726,FS-1735,,,,,,K-18050,
NISSAN,C-1819,C-1835,FA-1855,,,,,,K-18070,
NISSAN,EO-1804,FA-1884,FC-1803,,,,,,K-18200,
NISSAN,C-1122,FA-1952,FS-18271,,,,,,K-18210,
NISSAN,C-1821,FA-1856,FS-8007,,,,,,K-18220,
NISSAN,C-1835,FA-1826,FC-1803,,,,,,K-18230,
NISSAN,C-1122,FA-1880,FC-1816,,,,,,K-18240,
NISSAN,EO-1804,FA-1855,FS-18311,,,,,,K-18260,
NISSAN,C-1834 (X2),FA-1834,FA-1846,,,,,,K-18270,
NISSAN,C-1819 (X2),FA-1855,FC-1803,,,,,,K-18280,
NISSAN,EO-1804,FA-1855,FC-1803,,,,,,K-18290,
NISSAN,C-1819 (X2),FA-1834,FC-1803,,,,,,K-18300,
NISSAN,C-1835,FA-1855,FC-1803,,,,,,K-18310,
NISSAN,EO-18210,FA-61530,FS-18380,,,,,,K-18320,
NISSAN,C-8036,FA-61530,-,,,,,,K-18330,
MITSUBISHI,C-1028,FA-33411,F-17011,,,,,,K-19010,
FORD,C-1121,FA-1760,FC-1115,,,,,,K-19020,
FORD,C-1121,FA-1058,FC-1115,,,,,,K-19030,
FORD,EO-17030,FA-50320,EF-19090,,,,,,K-19040,
FORD,EO-24070,FA-1952,EF-19080,,,,,,K-19050,
FORD,C-19450,FA-1952,EF-19080,,,,,,K-23010,
HOLDEN,C-1032,FA-1517,FS-2301,,,,,,K-23020,
HOLDEN,C-49110,FA-1517,FS-2301,,,,,,K-28010,
HYUNDAI,C-2810,FA-28550,FC-2801,,,,iLOAD DIESEL,,K-28020,
HYUNDAI,C-1032,FA-28550,FS-28250,,,,,,K-31010,
VOLKSWAGEN,EO-31110,FA-31140,FS-31140,,,,,,K-31040,
VOLKSWAGEN,EO-31170,FA-31140,FS-31200,,,,,,K-31050,
