reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2013,2016,"M 235 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N55 B30 A",240
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2013,2016,"M 235 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N55 B30 A",240
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2013,2015,"220 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N20 B20 B,N20 B20 A",135
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2013,2015,"220 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N20 B20 B,N20 B20 A",135
"No matching vehicle found in DB",DIN44LH MF,BMW,"1502-2002",1974,1975,"2002 Turbo Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20 (22T A)",125
"No matching vehicle found in DB",DIN44LH MF,BMW,"1502-2002",1971,1975,"1602 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B16 A",63
"No matching vehicle found in DB",DIN44LH MF,BMW,"1502-2002",1971,1975,"2002 Petrol Rear-Wheel Drive Wagon",Petrol,Wagon,"M10 B20",74
"No matching vehicle found in DB",DIN44LH MF,BMW,"1502-2002",1971,1975,"2002 Tii Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20 (23EA)",96
"No matching vehicle found in DB",DIN44LH MF,BMW,"1502-2002",1968,1975,"2002 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B20 A",74
"No matching vehicle found in DB",DIN44LH MF,BMW,"1502-2002",1967,1971,"1600/2 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B16 A",63
"No matching vehicle found in DB",DIN44LH MF,BMW,"1502-2002",1967,1969,"1600 Ti Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"M10 B16 (16A)",77
"No matching vehicle found in DB",DIN65LH AGM,BMW,"5",2024,2026,"i5 M60 xDrive Electric Motor All-wheel Drive Wagon",Electric Motor,Wagon,"XE2",442
"No matching vehicle found in DB",DIN65LH AGM,BMW,"5",2024,2026,"M 5 Plug-in Hybrid All-wheel Drive Plug-In Hybrid All-wheel Drive Wagon",Plug-In Hybrid,Wagon,"S68 B44 A",535
"No matching vehicle found in DB",DIN65LH AGM,BMW,"5",2024,2026,"M5 Plug-in Hybrid All-wheel Drive Plug-In Hybrid All-wheel Drive Sedan",Plug-In Hybrid,Sedan,"S68 B44 A",535
"No matching vehicle found in DB",DIN65LH AGM,BMW,"5",2023,2026,"i5 eDrive40 Electric Motor Rear-Wheel Drive Sedan",Electric Motor,Sedan,"HA0001N0",250
"No matching vehicle found in DB",DIN65LH AGM,BMW,"5",2023,2026,"i5 M60 xDrive Electric Motor All-wheel Drive Sedan",Electric Motor,Sedan,"HA0002N0,HA0003N0",442
"No matching vehicle found in DB",DIN85LH AGM,BMW,"5",2017,2026,"520 i Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"B46 B20 B,B48 B20 B,B48 B20 A",135
"No matching vehicle found in DB",YTX14H-BS,BMW,"5",2017,2026,"520 i Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"B46 B20 B,B48 B20 B,B48 B20 A",135
"No matching vehicle found in DB",YTX14-BS,BMW,"5",2017,2026,"520 i Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"B46 B20 B,B48 B20 B,B48 B20 A",135
"No matching vehicle found in DB",DIN110LHAGM,BMW,"5",2019,2023,"M 550 i xDrive Petrol All-wheel Drive Sedan",Petrol,Sedan,"N63 B44 D",390
"No matching vehicle found in DB",DIN85LH AGM,BMW,"5",2019,2023,"M 550 i xDrive Petrol All-wheel Drive Sedan",Petrol,Sedan,"N63 B44 D",390
"No matching vehicle found in DB",DIN65LH AGM,BMW,"5",2019,2023,"M 550 i xDrive Petrol All-wheel Drive Sedan",Petrol,Sedan,"N63 B44 D",390
"No matching vehicle found in DB",DIN65LH AGM,BMW,"5",2018,2023,"M5 Competition Petrol All-wheel Drive Sedan",Petrol,Sedan,"S63 B44 B",460
"No matching vehicle found in DB",YTX14H-BS,BMW,"5",2018,2023,"M5 Competition Petrol All-wheel Drive Sedan",Petrol,Sedan,"S63 B44 B",460
"No matching vehicle found in DB",YTX14-BS,BMW,"5",2018,2023,"M5 Competition Petrol All-wheel Drive Sedan",Petrol,Sedan,"S63 B44 B",460
